C2,C2,C2,C2,C2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,56.07940292,0,-0.076865412,0
1.22E-06,55.67357635,1.22E-06,-0.076038487,0.1
9.61E-07,55.30722809,9.61E-07,-0.073881984,0.2
3.80E-06,55.00838852,3.80E-06,-0.072082199,0.3
1.39E-08,54.76681519,1.39E-08,-0.074498132,0.4
0.000154394,55.02791977,0.000154394,-0.070995845,0.5
0.000790827,57.18470001,0.000790827,-0.0760547,0.6
0.001704122,60.51773071,0.001704122,-0.071320131,0.7
0.002925516,64.91024017,0.002925516,-0.075470984,0.8
0.004492554,70.06772614,0.004492554,-0.080335267,0.9
0.006394763,75.78606415,0.006394763,-0.08591298,1
0.008635606,82.07509613,0.008635606,-0.093339123,1.1
0.011206376,88.94976807,0.011206376,-0.102321833,1.2
0.014111225,96.69498444,0.014111225,-0.109358832,1.3
0.017330956,105.3927231,0.017330956,-0.115455396,1.4
0.020635253,114.9150162,0.020635253,-0.129999608,1.5
0.023954982,125.2200623,0.023954982,-0.144235745,1.6
0.027303919,136.2476959,0.027303919,-0.16354695,1.7
0.030645909,148.1249542,0.030645909,-0.173372805,1.8
0.034000926,160.9506683,0.034000926,-0.187949449,1.9
0.037322193,174.1977234,0.037322193,-0.202250436,2
0.040656049,187.6609802,0.040656049,-0.218886286,2.1
0.043973166,201.4383698,0.043973166,-0.240451276,2.2
0.04733232,215.520462,0.04733232,-0.260362417,2.3
0.050643247,229.805191,0.050643247,-0.278781831,2.4
0.053969897,244.3255768,0.053969897,-0.299130768,2.5
0.057313133,259.3153076,0.057313133,-0.317760974,2.6
0.060662612,274.5705566,0.060662612,-0.338272035,2.7
0.063992105,289.8123474,0.063992105,-0.355491608,2.8
0.067326449,305.347229,0.067326449,-0.383266658,2.9
0.070669726,321.0923462,0.070669726,-0.404588431,3
0.074011125,336.8236694,0.074011125,-0.427434355,3.1
0.077327006,352.9076843,0.077327006,-0.44810757,3.2
0.080652758,369.3482361,0.080652758,-0.469494194,3.3
0.083982207,385.9003601,0.083982207,-0.496717989,3.4
0.087296404,402.4858704,0.087296404,-0.516223729,3.5
0.090645604,419.1246643,0.090645604,-0.540837049,3.6
0.093980484,435.7350769,0.093980484,-0.564282894,3.7
0.097328074,452.3343201,0.097328074,-0.589123189,3.8
0.100644559,469.1308289,0.100644559,-0.611823142,3.9
0.103994407,486.357605,0.103994407,-0.637814641,4
0.107316837,503.6555481,0.107316837,-0.66664362,4.1
0.110637732,520.7054443,0.110637732,-0.687738419,4.2
0.113964282,537.934082,0.113964282,-0.714637935,4.3
0.117302969,555.2755127,0.117302969,-0.742591321,4.4
0.120642945,572.7142944,0.120642945,-0.769750297,4.5
0.123966515,590.6049194,0.123966515,-0.790747762,4.6
0.127312288,608.6913452,0.127312288,-0.821327925,4.7
0.130645692,626.715271,0.130645692,-0.848584116,4.8
0.134003446,644.5495605,0.134003446,-0.875548482,4.9
0.137331977,662.1746216,0.137331977,-0.906647444,5
0.140660465,679.8201904,0.140660465,-0.933822632,5.1
0.143990576,697.5737305,0.143990576,-0.959489822,5.2
0.147318006,715.5524292,0.147318006,-0.989924014,5.3
0.150662884,733.7766113,0.150662884,-1.019385457,5.4
0.154002786,751.8287354,0.154002786,-1.047922492,5.5
0.157333195,769.711853,0.157333195,-1.077692032,5.6
0.160680085,787.6357422,0.160680085,-1.106942534,5.7
0.163992286,805.4785156,0.163992286,-1.13740921,5.8
0.167318583,823.4402466,0.167318583,-1.165297747,5.9
0.170649931,841.8237915,0.170649931,-1.195456386,6
0.173981026,860.1144409,0.173981026,-1.220021009,6.1
0.17732057,878.0755615,0.17732057,-1.258335352,6.2
0.180651262,895.8660278,0.180651262,-1.289126277,6.3
0.183970377,913.5526733,0.183970377,-1.317955375,6.4
0.187304989,931.3652954,0.187304989,-1.352037787,6.5
0.190640137,949.3050537,0.190640137,-1.380526304,6.6
0.193983808,967.5959473,0.193983808,-1.412581921,6.7
0.197308093,985.7088013,0.197308093,-1.442594647,6.8
0.200624302,1003.304138,0.200624302,-1.477131009,6.9
0.203970477,1020.804016,0.203970477,-1.511554003,7
0.207315177,1038.394653,0.207315177,-1.543901563,7.1
0.210653245,1056.061768,0.210653245,-1.576054454,7.2
0.213992015,1073.999023,0.213992015,-1.606975079,7.3
0.217341885,1092.151733,0.217341885,-1.642549276,7.4
0.220680669,1110.119141,0.220680669,-1.676566958,7.5
0.224010229,1127.626709,0.224010229,-1.711541176,7.6
0.227334186,1145.032349,0.227334186,-1.745299339,7.7
0.230658367,1162.322021,0.230658367,-1.781862617,7.8
0.233995065,1179.68457,0.233995065,-1.819106817,7.9
0.237315208,1197.129395,0.237315208,-1.850935578,8
0.240651265,1214.716431,0.240651265,-1.886039495,8.1
0.243982941,1232.132813,0.243982941,-1.916522384,8.2
0.247314915,1249.201172,0.247314915,-1.958355308,8.3
0.250650644,1266.406006,0.250650644,-1.994513273,8.4
0.253988266,1283.43689,0.253988266,-2.030817032,8.5
0.257315218,1300.267944,0.257315218,-2.065904856,8.6
0.260624707,1317.372925,0.260624707,-2.107802629,8.7
0.263963878,1334.51416,0.263963878,-2.141398668,8.8
0.267287552,1351.463867,0.267287552,-2.179032087,8.9
0.270619512,1368.253784,0.270619512,-2.21734643,9
0.273975432,1384.979126,0.273975432,-2.259747028,9.1
0.277329355,1401.75061,0.277329355,-2.289613724,9.2
0.280677259,1418.25415,0.280677259,-2.331851959,9.3
0.284012198,1434.985962,0.284012198,-2.369680166,9.4
0.287339091,1451.914307,0.287339091,-2.407751322,9.5
0.290676951,1468.630981,0.290676951,-2.449778795,9.6
0.294002473,1485.05481,0.294002473,-2.488693237,9.7
0.297339678,1501.425293,0.297339678,-2.529958725,9.8
