Non-bionmin S3;Non-bionmin S3;Non-bionmin S3;Non-bionmin S3;Non-bionmin S3
Deformation;Standard force;Standard travel;SG1;Test time
mm;N;mm;V;s
0;74.23984528;0;0;0
-1.41352E-06;74.04391479;-1.41352E-06;0;0.1
-2.10984E-06;73.87945557;-2.10984E-06;0;0.2
-1.36478E-06;73.72967529;-1.36478E-06;0;0.3
7.95193E-06;73.6230011;7.95193E-06;0;0.4
0.000313913;74.41571808;0.000313913;0;0.5
0.000973874;76.73045349;0.000973874;0;0.6
0.001945103;80.102005;0.001945103;0;0.7
0.003263278;84.63158417;0.003263278;0;0.8
0.004907008;90.27432251;0.004907008;0;0.9
0.006903443;97.0329361;0.006903443;0;1
0.009196864;104.8961792;0.009196864;0;1.1
0.011837942;113.9213257;0.011837942;0;1.2
0.014822672;124.674263;0.014822672;0;1.3
0.018111764;137.6048279;0.018111764;0;1.4
0.021436289;150.7325134;0.021436289;0;1.5
0.024761809;164.040802;0.024761809;0;1.6
0.028093709;177.2544708;0.028093709;0;1.7
0.031439833;190.6327057;0.031439833;0;1.8
0.034764528;204.0930176;0.034764528;0;1.9
0.038106337;217.8182831;0.038106337;0;2
0.041444294;231.8587799;0.041444294;0;2.1
0.044788491;245.8319244;0.044788491;0;2.2
0.048096646;259.5657349;0.048096646;0;2.3
0.051443439;273.4226685;0.051443439;0;2.4
0.054803241;287.4512024;0.054803241;0;2.5
0.058128539;301.6256714;0.058128539;0;2.6
0.06145291;316.0288086;0.06145291;0;2.7
0.06477455;330.5494385;0.06477455;0;2.8
0.068107195;344.8600769;0.068107195;0;2.9
0.071452938;359.0976563;0.071452938;0;3
0.074777603;373.2220764;0.074777603;0;3.1
0.078105032;387.4405518;0.078105032;0;3.2
0.081454322;401.787323;0.081454322;0;3.3
0.084787294;416.3561707;0.084787294;0;3.4
0.088110201;431.0411682;0.088110201;0;3.5
0.091449462;445.4997864;0.091449462;0;3.6
0.094772808;459.8332214;0.094772808;0;3.7
0.098097093;474.3091125;0.098097093;0;3.8
0.10143555;488.8843994;0.10143555;0;3.9
0.104766756;503.5822449;0.104766756;0;4
0.108095258;518.8108521;0.108095258;0;4.1
0.111423567;535.1103516;0.111423567;0;4.2
0.114770167;552.4941406;0.114770167;0;4.3
0.118118607;570.7232056;0.118118607;0;4.4
0.12144883;589.1080322;0.12144883;0;4.5
0.124787189;607.6243896;0.124787189;0;4.6
0.128102705;626.1563721;0.128102705;0;4.7
0.131451324;644.8842163;0.131451324;0;4.8
0.134780541;663.6922607;0.134780541;0;4.9
0.138101414;682.3516235;0.138101414;0;5
0.141453728;701.0057983;0.141453728;0;5.1
0.144805282;719.4995728;0.144805282;0;5.2
0.148113042;737.8665161;0.148113042;0;5.3
0.151447207;756.5206299;0.151447207;0;5.4
0.154767558;775.4295654;0.154767558;0;5.5
0.158098772;794.1401367;0.158098772;0;5.6
0.16144219;812.6640625;0.16144219;0;5.7
0.164753586;830.9421997;0.164753586;0;5.8
0.168086201;849.0406494;0.168086201;0;5.9
0.17141296;867.0389404;0.17141296;0;6
0.17476058;885.133606;0.17476058;0;6.1
0.178097323;903.5120239;0.178097323;0;6.2
0.181439057;921.8121338;0.181439057;0;6.3
0.184756637;939.8886719;0.184756637;0;6.4
0.188100055;957.9197388;0.188100055;0;6.5
0.191434115;975.9055176;0.191434115;0;6.6
0.194767684;993.7354736;0.194767684;0;6.7
0.19811371;1011.901794;0.19811371;0;6.8
0.201468334;1030.067627;0.201468334;0;6.9
0.204798907;1047.797363;0.204798907;0;7
0.208128721;1065.348389;0.208128721;0;7.1
0.211451098;1082.77417;0.211451098;0;7.2
0.214788571;1100.06897;0.214788571;0;7.3
0.218113467;1117.28894;0.218113467;0;7.4
0.221452743;1134.719604;0.221452743;0;7.5
0.224762633;1152.21228;0.224762633;0;7.6
0.228101432;1169.55127;0.228101432;0;7.7
0.231441051;1186.561279;0.231441051;0;7.8
0.234771505;1203.678833;0.234771505;0;7.9
0.238111392;1220.696411;0.238111392;0;8
0.241448194;1237.766235;0.241448194;0;8.1
0.244756892;1255.174561;0.244756892;0;8.2
0.248079836;1272.453979;0.248079836;0;8.3
0.251424879;1289.348511;0.251424879;0;8.4
0.254749626;1306.008301;0.254749626;0;8.5
0.258104861;1322.648193;0.258104861;0;8.6
0.261456758;1339.291992;0.261456758;0;8.7
0.264799327;1355.947388;0.264799327;0;8.8
0.268130809;1372.749634;0.268130809;0;8.9
0.271472991;1389.515381;0.271472991;0;9
0.274798393;1405.743896;0.274798393;0;9.1
0.278126448;1421.700439;0.278126448;0;9.2
0.281448662;1437.69519;0.281448662;0;9.3
0.284785926;1453.755249;0.284785926;0;9.4
0.288112611;1470.00293;0.288112611;0;9.5
0.2914325;1486.419189;0.2914325;0;9.6
0.294767201;1502.731689;0.294767201;0;9.7
0.298124164;1518.741699;0.298124164;0;9.8
0.301438987;1534.501587;0.301438987;0;9.9
0.304777294;1550.150391;0.304777294;0;10
0.308105439;1565.923584;0.308105439;0;10.1
0.311415404;1581.783813;0.311415404;0;10.2
0.314747691;1597.82251;0.314747691;0;10.3
0.318078876;1613.650024;0.318078876;0;10.4
0.32142967;1628.884399;0.32142967;0;10.5
0.324765444;1644.107056;0.324765444;0;10.6
0.328104883;1659.178345;0.328104883;0;10.7
0.331437737;1674.201294;0.331437737;0;10.8
0.3347857;1689.537354;0.3347857;0;10.9
0.338123113;1705.00769;0.338123113;0;11
0.341447651;1720.056885;0.341447651;0;11.1
0.344784647;1734.861816;0.344784647;0;11.2
0.348127633;1749.361816;0.348127633;0;11.3
0.351457477;1763.715576;0.351457477;0;11.4
0.354775339;1778.052124;0.354775339;0;11.5
0.358119875;1792.55835;0.358119875;0;11.6
0.36146605;1807.324829;0.36146605;0;11.7
