Non-bionmin S5,Non-bionmin S5,Non-bionmin S5,Non-bionmin S5,Non-bionmin S5
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,60.49904251,0,0,0
2.39E-06,60.27534866,2.39E-06,0,0.1
-2.58E-06,60.0833168,-2.58E-06,0,0.2
1.87E-06,59.92876434,1.87E-06,0,0.3
-2.07E-06,59.83121872,-2.07E-06,0,0.4
0.000174504,60.01140594,0.000174504,0,0.5
0.000790743,61.12147141,0.000790743,0,0.6
0.001689924,62.85564041,0.001689924,0,0.7
0.002918378,65.22991943,0.002918378,0,0.8
0.004485549,68.19394684,0.004485549,0,0.9
0.006391881,71.76489258,0.006391881,0,1
0.008613324,75.9836731,0.008613324,0,1.1
0.011185585,80.88760376,0.011185585,0,1.2
0.014104993,86.42145538,0.014104993,0,1.3
0.017324688,92.48867798,0.017324688,0,1.4
0.020646952,99.13835144,0.020646952,0,1.5
0.023976818,105.9187622,0.023976818,0,1.6
0.027304003,112.7973785,0.027304003,0,1.7
0.030639315,120.1827927,0.030639315,0,1.8
0.033973645,128.3851318,0.033973645,0,1.9
0.037308142,137.4713898,0.037308142,0,2
0.040649366,147.4347076,0.040649366,0,2.1
0.043976251,158.1964417,0.043976251,0,2.2
0.047307309,169.3538513,0.047307309,0,2.3
0.050639763,180.5690613,0.050639763,0,2.4
0.053960223,191.9241791,0.053960223,0,2.5
0.057295397,203.414093,0.057295397,0,2.6
0.060640629,214.9503174,0.060640629,0,2.7
0.063971937,226.5249481,0.063971937,0,2.8
0.067291595,238.3981781,0.067291595,0,2.9
0.070629917,250.5068512,0.070629917,0,3
0.073983721,262.8432922,0.073983721,0,3.1
0.077324837,275.5836182,0.077324837,0,3.2
0.080649927,288.7956238,0.080649927,0,3.3
0.083986878,302.5969238,0.083986878,0,3.4
0.087314792,316.8962097,0.087314792,0,3.5
0.090652235,331.8043518,0.090652235,0,3.6
0.09398663,346.9411011,0.09398663,0,3.7
0.097314879,362.2200928,0.097314879,0,3.8
0.100659043,377.7290039,0.100659043,0,3.9
0.103997692,393.4155273,0.103997692,0,4
0.107315026,409.3037415,0.107315026,0,4.1
0.110643648,425.7563477,0.110643648,0,4.2
0.113983206,442.4443359,0.113983206,0,4.3
0.117306955,459.1621704,0.117306955,0,4.4
0.120636411,475.8489685,0.120636411,0,4.5
0.123962782,492.5548706,0.123962782,0,4.6
0.127286971,509.2098083,0.127286971,0,4.7
0.13062723,525.8202515,0.13062723,0,4.8
0.13396728,542.7674561,0.13396728,0,4.9
0.137302041,560.0490723,0.137302041,0,5
0.140631303,577.2567139,0.140631303,0,5.1
0.143958494,594.2594604,0.143958494,0,5.2
0.147287592,611.4007568,0.147287592,0,5.3
0.150641873,628.4708252,0.150641873,0,5.4
0.153968424,645.486145,0.153968424,0,5.5
0.15732646,662.9666748,0.15732646,0,5.6
0.160667494,680.4832153,0.160667494,0,5.7
0.163989276,697.7642822,0.163989276,0,5.8
0.16732569,714.9005737,0.16732569,0,5.9
0.170662463,731.9459839,0.170662463,0,6
0.174000725,749.0109253,0.174000725,0,6.1
0.177311286,765.9952393,0.177311286,0,6.2
0.180659309,783.2741089,0.180659309,0,6.3
0.183968052,800.6705322,0.183968052,0,6.4
0.187296778,817.8115234,0.187296778,0,6.5
0.190633565,834.7316895,0.190633565,0,6.6
0.19396618,851.8325195,0.19396618,0,6.7
0.197310448,869.0054321,0.197310448,0,6.8
0.200640157,886.3083496,0.200640157,0,6.9
0.203959838,903.9055176,0.203959838,0,7
0.207292095,921.3864746,0.207292095,0,7.1
0.210614592,938.6160278,0.210614592,0,7.2
0.213958159,955.5661621,0.213958159,0,7.3
0.217301622,972.5094604,0.217301622,0,7.4
0.220658779,989.487793,0.220658779,0,7.5
0.22400412,1006.497314,0.22400412,0,7.6
0.227325693,1023.734802,0.227325693,0,7.7
0.230681583,1040.879761,0.230681583,0,7.8
0.233997226,1057.56189,0.233997226,0,7.9
0.237324521,1074.074219,0.237324521,0,8
0.240646809,1090.584229,0.240646809,0,8.1
0.243983671,1107.15271,0.243983671,0,8.2
0.247322336,1124.022583,0.247322336,0,8.3
0.250645876,1140.894287,0.250645876,0,8.4
0.253971785,1157.5271,0.253971785,0,8.5
0.257322252,1173.839844,0.257322252,0,8.6
0.260644972,1189.962769,0.260644972,0,8.7
0.263960212,1205.956177,0.263960212,0,8.8
0.267291278,1221.897705,0.267291278,0,8.9
0.270608634,1237.950928,0.270608634,0,9
0.273954958,1254.311157,0.273954958,0,9.1
0.277284414,1270.43811,0.277284414,0,9.2
0.280643821,1286.156128,0.280643821,0,9.3
0.283978492,1301.830811,0.283978492,0,9.4
0.287292272,1317.419678,0.287292272,0,9.5
0.290629476,1332.908325,0.290629476,0,9.6
0.293973148,1348.684448,0.293973148,0,9.7
0.297313392,1364.442383,0.297313392,0,9.8
0.300656617,1379.862671,0.300656617,0,9.9
0.303985238,1395.008057,0.303985238,0,10
0.307321548,1409.987671,0.307321548,0,10.1
0.310650855,1424.920776,0.310650855,0,10.2
0.313980252,1439.893799,0.313980252,0,10.3
0.317326993,1455.121826,0.317326993,0,10.4
0.320665509,1470.346191,0.320665509,0,10.5
0.323979348,1485.033569,0.323979348,0,10.6
0.327293873,1499.458252,0.327293873,0,10.7
0.330617726,1513.886963,0.330617726,0,10.8
0.333962828,1528.25769,0.333962828,0,10.9
0.337306529,1542.643066,0.337306529,0,11
0.340652466,1557.338623,0.340652466,0,11.1
0.343987644,1571.994995,0.343987644,0,11.2
0.34731549,1586.360229,0.34731549,0,11.3
0.350637734,1600.491699,0.350637734,0,11.4
0.353978246,1614.45813,0.353978246,0,11.5
0.357296646,1628.126831,0.357296646,0,11.6
0.360628873,1641.769653,0.360628873,0,11.7
