bm1,bm1,bm1,bm1,bm1
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0,0.94909656,0,0,0
3.42587E-06,0.953589797,3.42587E-06,3.42587E-06,0.1
2.65296E-06,0.943631828,2.65296E-06,2.65296E-06,0.2
1.42745E-06,0.939047396,1.42745E-06,1.42745E-06,0.3
6.04402E-06,0.939783394,6.04402E-06,6.04402E-06,0.4
0.000109837,0.942830026,0.000109837,0.000109837,0.5
0.00047839,0.937973022,0.00047839,0.00047839,0.6
0.000949942,0.946197808,0.000949942,0.000949942,0.7
0.001601673,0.951220334,0.001601673,0.001601673,0.8
0.00242022,0.97425282,0.00242022,0.00242022,0.9
0.003402158,0.99549371,0.003402158,0.003402158,1
0.004545683,1.00865972,0.004545683,0.004545683,1.1
0.005869045,1.052312613,0.005869045,0.005869045,1.2
0.007354287,1.057792187,0.007354287,0.007354287,1.3
0.008985993,1.092107654,0.008985993,0.008985993,1.4
0.01066059,1.116594076,0.01066059,0.01066059,1.5
0.012325155,1.162712574,0.012325155,0.012325155,1.6
0.01398052,1.184885621,0.01398052,0.01398052,1.7
0.015654979,1.226793885,0.015654979,0.015654979,1.8
0.017321486,1.240864873,0.017321486,0.017321486,1.9
0.018978912,1.285622239,0.018978912,0.018978912,2
0.020650398,1.302575111,0.020650398,0.020650398,2.1
0.022314426,1.331496596,0.022314426,0.022314426,2.2
0.023982458,1.365731239,0.023982458,0.023982458,2.3
0.025658289,1.400052428,0.025658289,0.025658289,2.4
0.027317233,1.400004506,0.027317233,0.027317233,2.5
0.028977863,1.439798117,0.028977863,0.028977863,2.6
0.030648047,1.448811412,0.030648047,0.030648047,2.7
0.032324784,1.475061655,0.032324784,0.032324784,2.8
0.033996053,1.500549674,0.033996053,0.033996053,2.9
0.035666436,1.512278914,0.035666436,0.035666436,3
0.037330084,1.527251124,0.037330084,0.037330084,3.1
0.03900665,1.537504911,0.03900665,0.03900665,3.2
0.040662739,1.570699811,0.040662739,0.040662739,3.3
0.042324841,1.599961519,0.042324841,0.042324841,3.4
0.043991551,1.632697821,0.043991551,0.043991551,3.5
0.04566846,1.657186985,0.04566846,0.04566846,3.6
0.047326952,1.671674967,0.047326952,0.047326952,3.7
0.048996989,1.687584877,0.048996989,0.048996989,3.8
0.050657701,1.71614027,0.050657701,0.050657701,3.9
0.052322503,1.740609765,0.052322503,0.052322503,4
0.053994495,1.783413768,0.053994495,0.053994495,4.1
0.055660766,1.79504025,0.055660766,0.055660766,4.2
0.057329468,1.834739923,0.057329468,0.057329468,4.3
0.058998294,1.866482019,0.058998294,0.058998294,4.4
0.060674638,1.870298624,0.060674638,0.060674638,4.5
0.062334754,1.898872256,0.062334754,0.062334754,4.6
0.063996643,1.929654121,0.063996643,0.063996643,4.7
0.065670766,1.960806131,0.065670766,0.065670766,4.8
0.067332618,1.987500072,0.067332618,0.067332618,4.9
0.068999901,2.01711607,0.068999901,0.068999901,5
0.070670843,2.040758371,0.070670843,0.070670843,5.1
0.07233844,2.067831755,0.07233844,0.07233844,5.2
0.073999755,2.096077681,0.073999755,0.073999755,5.3
0.075664923,2.135187387,0.075664923,0.075664923,5.4
0.077331759,2.14274931,0.077331759,0.077331759,5.5
0.078999929,2.192327261,0.078999929,0.078999929,5.6
0.080662057,2.223219633,0.080662057,0.080662057,5.7
0.082325481,2.243549109,0.082325481,0.082325481,5.8
0.083980717,2.260466337,0.083980717,0.083980717,5.9
0.085648991,2.312228203,0.085648991,0.085648991,6
0.087320432,2.335012436,0.087320432,0.087320432,6.1
0.088982336,2.353780985,0.088982336,0.088982336,6.2
0.090649895,2.393121004,0.090649895,0.090649895,6.3
0.092322007,2.415421963,0.092322007,0.092322007,6.4
0.093987316,2.453849792,0.093987316,0.093987316,6.5
0.095659919,2.494395256,0.095659919,0.095659919,6.6
0.097321533,2.533605099,0.097321533,0.097321533,6.7
0.098991811,2.557272673,0.098991811,0.098991811,6.8
0.10065978,2.600651979,0.10065978,0.10065978,6.9
0.102323599,2.640391111,0.102323599,0.102323599,7
0.103990525,2.658713341,0.103990525,0.103990525,7.1
0.10565602,2.6923666,0.10565602,0.10565602,7.2
0.107329391,2.728430271,0.107329391,0.107329391,7.3
0.108989067,2.780831814,0.108989067,0.108989067,7.4
0.110651918,2.807255268,0.110651918,0.110651918,7.5
0.11231301,2.840218782,0.11231301,0.11231301,7.6
0.113984331,2.8729074,0.113984331,0.113984331,7.7
0.115667105,2.918555498,0.115667105,0.115667105,7.8
0.117335737,2.954470158,0.117335737,0.117335737,7.9
0.119010448,2.987289667,0.119010448,0.119010448,8
0.120667316,3.025797844,0.120667316,0.120667316,8.1
0.12232928,3.05610323,0.12232928,0.12232928,8.2
0.123999357,3.071743488,0.123999357,0.123999357,8.3
0.125654444,3.103886843,0.125654444,0.125654444,8.4
0.127334207,3.150368452,0.127334207,0.127334207,8.5
0.129001692,3.196592808,0.129001692,0.129001692,8.6
0.130672395,3.220442057,0.130672395,0.130672395,8.7
0.132340088,3.271916151,0.132340088,0.132340088,8.8
0.134006187,3.287034512,0.134006187,0.134006187,8.9
0.135666251,3.337557554,0.135666251,0.135666251,9
0.137322426,3.379614115,0.137322426,0.137322426,9.1
0.138998181,3.383248329,0.138998181,0.138998181,9.2
