bm3;bm3;bm3;bm3;bm3
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0;1.101794004;0;0;0
-1.74079E-07;1.092901111;-1.74079E-07;-1.74079E-07;0.1
-1.12803E-06;1.089658737;-1.12803E-06;-1.12803E-06;0.2
-2.15162E-06;1.084311008;-2.15162E-06;-2.15162E-06;0.3
3.74618E-06;1.097872376;3.74618E-06;3.74618E-06;0.4
0.000121521;1.072706223;0.000121521;0.000121521;0.5
0.000505198;1.090384603;0.000505198;0.000505198;0.6
0.000980991;1.10446775;0.000980991;0.000980991;0.7
0.001639142;1.108106017;0.001639142;0.001639142;0.8
0.002471469;1.121786594;0.002471469;0.002471469;0.9
0.003462104;1.145679474;0.003462104;0.003462104;1
0.004624854;1.187200546;0.004624854;0.004624854;1.1
0.005935696;1.225267529;0.005935696;0.005935696;1.2
0.007436243;1.276102901;0.007436243;0.007436243;1.3
0.009072335;1.30427134;0.009072335;0.009072335;1.4
0.010744955;1.327920198;0.010744955;0.010744955;1.5
0.012421775;1.363710284;0.012421775;0.012421775;1.6
0.0140768;1.410393;0.0140768;0.0140768;1.7
0.015753375;1.456272483;0.015753375;0.015753375;1.8
0.017421657;1.497164369;0.017421657;0.017421657;1.9
0.019090226;1.523707986;0.019090226;0.019090226;2
0.02075211;1.564952612;0.02075211;0.02075211;2.1
0.022411939;1.583562851;0.022411939;0.022411939;2.2
0.024077972;1.644769669;0.024077972;0.024077972;2.3
0.025734799;1.669514894;0.025734799;0.025734799;2.4
0.027411627;1.70278883;0.027411627;0.027411627;2.5
0.029074172;1.743221045;0.029074172;0.029074172;2.6
0.030742494;1.763291955;0.030742494;0.030742494;2.7
0.032401558;1.808893085;0.032401558;0.032401558;2.8
0.034086857;1.846112251;0.034086857;0.034086857;2.9
0.035751417;1.871783376;0.035751417;0.035751417;3
0.037420437;1.910256386;0.037420437;0.037420437;3.1
0.039104603;1.944286823;0.039104603;0.039104603;3.2
0.040771067;1.977591038;0.040771067;0.040771067;3.3
0.042439405;2.002505064;0.042439405;0.042439405;3.4
0.044091087;2.058751583;0.044091087;0.044091087;3.5
0.045763839;2.085715055;0.045763839;0.045763839;3.6
0.047430854;2.114340305;0.047430854;0.047430854;3.7
0.049095955;2.162793636;0.049095955;0.049095955;3.8
0.050769612;2.220890045;0.050769612;0.050769612;3.9
0.052435305;2.223950863;0.052435305;0.052435305;4
0.054110732;2.277785301;0.054110732;0.054110732;4.1
0.055762876;2.324804783;0.055762876;0.055762876;4.2
0.057427753;2.362238407;0.057427753;0.057427753;4.3
0.059099175;2.386134624;0.059099175;0.059099175;4.4
0.060759619;2.437349081;0.060759619;0.060759619;4.5
0.062431324;2.454357624;0.062431324;0.062431324;4.6
0.064095065;2.488410473;0.064095065;0.064095065;4.7
0.065767303;2.529517651;0.065767303;0.065767303;4.8
0.067433767;2.578794003;0.067433767;0.067433767;4.9
0.069095127;2.621341467;0.069095127;0.069095127;5
0.070754744;2.641404867;0.070754744;0.070754744;5.1
0.072429918;2.696109295;0.072429918;0.072429918;5.2
0.074092545;2.71706152;0.074092545;0.074092545;5.3
0.075762309;2.749326229;0.075762309;0.075762309;5.4
0.077429973;2.788197994;0.077429973;0.077429973;5.5
0.07910338;2.835216761;0.07910338;0.07910338;5.6
0.080757812;2.889032841;0.080757812;0.080757812;5.7
0.08242248;2.911459208;0.08242248;0.08242248;5.8
0.084084883;2.967009306;0.084084883;0.084084883;5.9
0.085743494;2.998923063;0.085743494;0.085743494;6
0.087409809;3.035440683;0.087409809;0.087409809;6.1
0.089077026;3.061320543;0.089077026;0.089077026;6.2
0.090749286;3.094300747;0.090749286;0.090749286;6.3
0.092413485;3.126389742;0.092413485;0.092413485;6.4
0.094076931;3.180060148;0.094076931;0.094076931;6.5
0.095757611;3.210846424;0.095757611;0.095757611;6.6
0.097411111;3.24307847;0.097411111;0.097411111;6.7
0.099087015;3.296285152;0.099087015;0.099087015;6.8
0.100748606;3.335351467;0.100748606;0.100748606;6.9
0.102426127;3.346173286;0.102426127;0.102426127;7
0.104096897;3.416655779;0.104096897;0.104096897;7.1
0.105762288;3.438860655;0.105762288;0.105762288;7.2
0.107422754;3.485595703;0.107422754;0.107422754;7.3
0.109088294;3.525226116;0.109088294;0.109088294;7.4
0.110748813;3.575413704;0.110748813;0.110748813;7.5
0.11242716;3.585079193;0.11242716;0.11242716;7.6
0.114097372;3.637190819;0.114097372;0.114097372;7.7
0.115761764;3.682766676;0.115761764;0.115761764;7.8
0.117428549;3.724979162;0.117428549;0.117428549;7.9
0.119092755;3.753249884;0.119092755;0.119092755;8
0.120762944;3.796006441;0.120762944;0.120762944;8.1
0.122437567;3.842661381;0.122437567;0.122437567;8.2
0.124104731;3.866297007;0.124104731;0.124104731;8.3
0.12577197;3.907333136;0.12577197;0.12577197;8.4
0.12745364;3.948376894;0.12745364;0.12745364;8.5
0.129109725;3.986931086;0.129109725;0.129109725;8.6
0.130754426;4.031507015;0.130754426;0.130754426;8.7
0.132426217;4.074432373;0.132426217;0.132426217;8.8
0.134093836;4.109256744;0.134093836;0.134093836;8.9
0.135762781;4.132950783;0.135762781;0.135762781;9
0.137435377;4.184092999;0.137435377;0.137435377;9.1
0.139088184;4.230521202;0.139088184;0.139088184;9.2
