nbm1,nbm1,nbm1,nbm1,nbm1
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0,1.020659566,0,0,0
1.22552E-06,1.018918157,1.22552E-06,1.22552E-06,0.1
-3.55121E-07,1.003930569,-3.55121E-07,-3.55121E-07,0.2
-6.26684E-07,0.983154953,-6.26684E-07,-6.26684E-07,0.3
3.10557E-06,0.996466994,3.10557E-06,3.10557E-06,0.4
0.000123074,0.994714618,0.000123074,0.000123074,0.5
0.000487477,0.998626113,0.000487477,0.000487477,0.6
0.000978254,1.016293764,0.000978254,0.000978254,0.7
0.001635382,0.998415589,0.001635382,0.001635382,0.8
0.00245608,1.035205364,0.00245608,0.00245608,0.9
0.003443101,1.050088406,0.003443101,0.003443101,1
0.004599536,1.064138412,0.004599536,0.004599536,1.1
0.005933705,1.094309211,0.005933705,0.005933705,1.2
0.007423062,1.115325093,0.007423062,0.007423062,1.3
0.009055394,1.154161453,0.009055394,0.009055394,1.4
0.010719485,1.164767504,0.010719485,0.010719485,1.5
0.012390642,1.199875355,0.012390642,0.012390642,1.6
0.014060297,1.228317976,0.014060297,0.014060297,1.7
0.015726589,1.243448734,0.015726589,0.015726589,1.8
0.0173882,1.270006418,0.0173882,0.0173882,1.9
0.019046517,1.30152154,0.019046517,0.019046517,2
0.020706313,1.314136863,0.020706313,0.020706313,2.1
0.022379085,1.340485454,0.022379085,0.022379085,2.2
0.024042398,1.356831908,0.024042398,0.024042398,2.3
0.025718916,1.372440696,0.025718916,0.025718916,2.4
0.02738509,1.387612581,0.02738509,0.02738509,2.5
0.029059723,1.425810695,0.029059723,0.029059723,2.6
0.030725596,1.443298101,0.030725596,0.030725596,2.7
0.032382492,1.475170493,0.032382492,0.032382492,2.8
0.034056202,1.497710109,0.034056202,0.034056202,2.9
0.035714854,1.509487391,0.035714854,0.035714854,3
0.037386511,1.528297305,0.037386511,0.037386511,3.1
0.039059117,1.573499799,0.039059117,0.039059117,3.2
0.040730186,1.568860531,0.040730186,0.040730186,3.3
0.042401887,1.59733665,0.042401887,0.042401887,3.4
0.044066276,1.615208149,0.044066276,0.044066276,3.5
0.045729671,1.66815567,0.045729671,0.045729671,3.6
0.047391694,1.678715825,0.047391694,0.047391694,3.7
0.049052786,1.708336949,0.049052786,0.049052786,3.8
0.050719801,1.705128789,0.050719801,0.050719801,3.9
0.052392259,1.721198916,0.052392259,0.052392259,4
0.054064643,1.748291969,0.054064643,0.054064643,4.1
0.055720683,1.78680861,0.055720683,0.055720683,4.2
0.057381913,1.801894426,0.057381913,0.057381913,4.3
0.059060737,1.823140264,0.059060737,0.059060737,4.4
0.060728729,1.84436202,0.060728729,0.060728729,4.5
0.062394705,1.887454033,0.062394705,0.062394705,4.6
0.064067587,1.894551039,0.064067587,0.064067587,4.7
0.065731809,1.907915831,0.065731809,0.065731809,4.8
0.0674081,1.934630632,0.0674081,0.0674081,4.9
0.069072254,1.964528084,0.069072254,0.069072254,5
0.070733152,1.986555099,0.070733152,0.070733152,5.1
0.072398603,2.008908272,0.072398603,0.072398603,5.2
0.074070774,2.039421797,0.074070774,0.074070774,5.3
0.075727776,2.05444169,0.075727776,0.075727776,5.4
0.0773926,2.081991911,0.0773926,0.0773926,5.5
0.079058044,2.102752924,0.079058044,0.079058044,5.6
0.080716364,2.129977942,0.080716364,0.080716364,5.7
0.082388468,2.168679714,0.082388468,0.082388468,5.8
0.084056616,2.181550503,0.084056616,0.084056616,5.9
0.085720569,2.191282511,0.085720569,0.085720569,6
0.087394103,2.229347944,0.087394103,0.087394103,6.1
0.089053601,2.256732702,0.089053601,0.089053601,6.2
0.090729043,2.261214495,0.090729043,0.090729043,6.3
0.092393018,2.302144527,0.092393018,0.092393018,6.4
0.094048306,2.319162607,0.094048306,0.094048306,6.5
0.095735624,2.338664055,0.095735624,0.095735624,6.6
0.097376063,2.349921942,0.097376063,0.097376063,6.7
0.099052846,2.39705205,0.099052846,0.099052846,6.8
0.100720465,2.413233042,0.100720465,0.100720465,6.9
0.10238976,2.443682671,0.10238976,0.10238976,7
0.10406895,2.460800409,0.10406895,0.10406895,7.1
0.105725124,2.502690077,0.105725124,0.105725124,7.2
0.107380994,2.510014296,0.107380994,0.107380994,7.3
0.109046675,2.525434732,0.109046675,0.109046675,7.4
0.110711031,2.563756227,0.110711031,0.110711031,7.5
0.11238642,2.602890491,0.11238642,0.11238642,7.6
0.114057548,2.614331245,0.114057548,0.114057548,7.7
0.11572744,2.659157991,0.11572744,0.11572744,7.8
0.117389888,2.677816391,0.117389888,0.117389888,7.9
0.119056858,2.705533743,0.119056858,0.119056858,8
0.120729908,2.747146368,0.120729908,0.120729908,8.1
0.122401275,2.775607347,0.122401275,0.122401275,8.2
0.124064513,2.793023109,0.124064513,0.124064513,8.3
0.12574558,2.81925869,0.12574558,0.12574558,8.4
0.127403364,2.849036455,0.127403364,0.127403364,8.5
0.129070505,2.875888109,0.129070505,0.129070505,8.6
0.130733103,2.883253574,0.130733103,0.130733103,8.7
0.132404551,2.937415361,0.132404551,0.132404551,8.8
0.134059772,2.966818333,0.134059772,0.134059772,8.9
0.135734335,2.974465132,0.135734335,0.135734335,9
0.137398079,3.007616997,0.137398079,0.137398079,9.1
0.139057532,3.032788754,0.139057532,0.139057532,9.2
