nbm2;nbm2;nbm2;nbm2;nbm2
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0;1.083379388;0;0;0
4.87421E-07;1.069111586;4.87421E-07;4.87421E-07;0.1
1.75472E-06;1.074835777;1.75472E-06;1.75472E-06;0.2
-3.05683E-06;1.067521214;-3.05683E-06;-3.05683E-06;0.3
5.52179E-06;1.07053411;5.52179E-06;5.52179E-06;0.4
0.000139521;1.08956635;0.000139521;0.000139521;0.5
0.000515232;1.07990694;0.000515232;0.000515232;0.6
0.001007291;1.083530784;0.001007291;0.001007291;0.7
0.001681185;1.083174467;0.001681185;0.001681185;0.8
0.002504913;1.092267632;0.002504913;0.002504913;0.9
0.003510066;1.126422167;0.003510066;0.003510066;1
0.004679654;1.132004261;0.004679654;0.004679654;1.1
0.006012117;1.13369596;0.006012117;0.006012117;1.2
0.007525636;1.177608848;0.007525636;0.007525636;1.3
0.009152592;1.202738285;0.009152592;0.009152592;1.4
0.010826885;1.236264706;0.010826885;0.010826885;1.5
0.012490718;1.284783721;0.012490718;0.012490718;1.6
0.014158861;1.293975472;0.014158861;0.014158861;1.7
0.01581862;1.332428813;0.01581862;0.01581862;1.8
0.017477877;1.355270624;0.017477877;0.017477877;1.9
0.019151418;1.381155491;0.019151418;0.019151418;2
0.020819763;1.411136508;0.020819763;0.020819763;2.1
0.022489766;1.432589889;0.022489766;0.022489766;2.2
0.024157546;1.459078789;0.024157546;0.024157546;2.3
0.025822606;1.484184504;0.025822606;0.025822606;2.4
0.027492942;1.515118241;0.027492942;0.027492942;2.5
0.02915284;1.546923876;0.02915284;0.02915284;2.6
0.030823998;1.574469805;0.030823998;0.030823998;2.7
0.032493286;1.599242926;0.032493286;0.032493286;2.8
0.03415367;1.63092792;0.03415367;0.03415367;2.9
0.035818875;1.652471542;0.035818875;0.035818875;3
0.03747303;1.685546875;0.03747303;0.03747303;3.1
0.039161526;1.710448265;0.039161526;0.039161526;3.2
0.040826708;1.726388216;0.040826708;0.040826708;3.3
0.042477585;1.74400425;0.042477585;0.042477585;3.4
0.044152364;1.797284722;0.044152364;0.044152364;3.5
0.045812532;1.815289259;0.045812532;0.045812532;3.6
0.047475442;1.845802426;0.047475442;0.047475442;3.7
0.049149372;1.846081734;0.049149372;0.049149372;3.8
0.050816428;1.877460241;0.050816428;0.050816428;3.9
0.052490324;1.915169358;0.052490324;0.052490324;4
0.054147791;1.931196928;0.054147791;0.054147791;4.1
0.055825494;1.967926979;0.055825494;0.055825494;4.2
0.057485364;1.982815862;0.057485364;0.057485364;4.3
0.059165694;2.007701159;0.059165694;0.059165694;4.4
0.06083177;2.041007519;0.06083177;0.06083177;4.5
0.062496457;2.073580265;0.062496457;0.062496457;4.6
0.064168215;2.096214056;0.064168215;0.064168215;4.7
0.065831974;2.12420702;0.065831974;0.065831974;4.8
0.067502536;2.158875227;0.067502536;0.067502536;4.9
0.069169253;2.179902792;0.069169253;0.069169253;5
0.070823886;2.192940474;0.070823886;0.070823886;5.1
0.072486766;2.21698761;0.072486766;0.072486766;5.2
0.074149519;2.249680519;0.074149519;0.074149519;5.3
0.075829074;2.287615061;0.075829074;0.075829074;5.4
0.077486932;2.312037945;0.077486932;0.077486932;5.5
0.079157814;2.331241608;0.079157814;0.079157814;5.6
0.080811985;2.364498377;0.080811985;0.080811985;5.7
0.082489885;2.399642944;0.082489885;0.082489885;5.8
0.084159374;2.409141541;0.084159374;0.084159374;5.9
0.085824966;2.426169872;0.085824966;0.085824966;6
0.087488428;2.479728222;0.087488428;0.087488428;6.1
0.089162953;2.491657495;0.089162953;0.089162953;6.2
0.090829916;2.527432442;0.090829916;0.090829916;6.3
0.092494607;2.55815506;0.092494607;0.092494607;6.4
0.094157554;2.576085329;0.094157554;0.094157554;6.5
0.095826529;2.608665466;0.095826529;0.095826529;6.6
0.097487442;2.630474091;0.097487442;0.097487442;6.7
0.099153236;2.667608261;0.099153236;0.099153236;6.8
0.100818954;2.694093466;0.100818954;0.100818954;6.9
0.102483876;2.698434591;0.102483876;0.102483876;7
0.104157642;2.743834496;0.104157642;0.104157642;7.1
0.105809793;2.775221586;0.105809793;0.105809793;7.2
0.107488677;2.800980568;0.107488677;0.107488677;7.3
0.10914851;2.82305336;0.10914851;0.10914851;7.4
0.110818744;2.860851049;0.110818744;0.110818744;7.5
0.112491116;2.87611866;0.112491116;0.112491116;7.6
0.114152908;2.888981342;0.114152908;0.114152908;7.7
0.11581187;2.932837248;0.11581187;0.11581187;7.8
0.117488794;2.955727577;0.117488794;0.117488794;7.9
0.119145386;2.987733126;0.119145386;0.119145386;8
0.120814659;3.007585764;0.120814659;0.120814659;8.1
0.122485742;3.04682827;0.122485742;0.122485742;8.2
0.124162048;3.073884726;0.124162048;0.124162048;8.3
0.125829875;3.090751648;0.125829875;0.125829875;8.4
0.127496704;3.117399454;0.127496704;0.127496704;8.5
0.129159182;3.145622015;0.129159182;0.129159182;8.6
0.130825981;3.175480604;0.130825981;0.130825981;8.7
0.132497609;3.182026148;0.132497609;0.132497609;8.8
0.134160176;3.208584309;0.134160176;0.134160176;8.9
0.135815084;3.248606205;0.135815084;0.135815084;9
0.137484387;3.26705718;0.137484387;0.137484387;9.1
0.13915205;3.306358099;0.13915205;0.13915205;9.2
