BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,83.55818176,0,0,0
2.70E-06,83.11273193,2.70E-06,0,0.1
-7.10E-07,82.77171326,-7.10E-07,0,0.2
-7.94E-07,82.4828186,-7.94E-07,0,0.3
1.11E-05,82.26629639,1.11E-05,0,0.4
0.000310891,83.37941742,0.000310891,0,0.5
0.000978164,86.60047913,0.000978164,0,0.6
0.001965554,91.37141418,0.001965554,0,0.7
0.003271028,97.83409119,0.003271028,0,0.8
0.004920022,105.9327469,0.004920022,0,0.9
0.006878787,115.7163467,0.006878787,0,1
0.009194595,127.1382217,0.009194595,0,1.1
0.011842037,140.1150208,0.011842037,0,1.2
0.014821447,154.3331299,0.014821447,0,1.3
0.018091207,169.9204102,0.018091207,0,1.4
0.021432724,186.2572327,0.021432724,0,1.5
0.024781076,202.5948944,0.024781076,0,1.6
0.028099893,219.1728363,0.028099893,0,1.7
0.031412665,235.8948669,0.031412665,0,1.8
0.034763463,252.3148651,0.034763463,0,1.9
0.03808647,268.5484619,0.03808647,0,2
0.041424986,284.6990662,0.041424986,0,2.1
0.044780079,300.9234924,0.044780079,0,2.2
0.048131976,317.0685425,0.048131976,0,2.3
0.051472023,333.4130859,0.051472023,0,2.4
0.054811444,349.9084473,0.054811444,0,2.5
0.058132708,366.1848145,0.058132708,0,2.6
0.061468061,382.0887451,0.061468061,0,2.7
0.064797461,397.9938049,0.064797461,0,2.8
0.068119012,413.9696045,0.068119012,0,2.9
0.071455263,430.2007141,0.071455263,0,3
0.074777789,446.7024841,0.074777789,0,3.1
0.078106642,463.0880432,0.078106642,0,3.2
0.081431329,479.2179871,0.081431329,0,3.3
0.084792204,495.2199402,0.084792204,0,3.4
0.08810097,511.0646667,0.08810097,0,3.5
0.091434747,527.0373535,0.091434747,0,3.6
0.094751492,543.0977173,0.094751492,0,3.7
0.098077349,559.4226685,0.098077349,0,3.8
0.101423025,575.7094727,0.101423025,0,3.9
0.104769342,591.5423584,0.104769342,0,4
0.108107768,607.2667847,0.108107768,0,4.1
0.111436188,623.1368408,0.111436188,0,4.2
0.114760175,638.9882813,0.114760175,0,4.3
0.11810977,655.1112671,0.11810977,0,4.4
0.121444568,671.447876,0.121444568,0,4.5
0.124781802,687.5422363,0.124781802,0,4.6
0.128115073,703.4089355,0.128115073,0,4.7
0.131455958,719.0964966,0.131455958,0,4.8
0.134786651,734.7050171,0.134786651,0,4.9
0.138119608,750.3775635,0.138119608,0,5
0.141448274,766.2730103,0.141448274,0,5.1
0.144802555,782.4033813,0.144802555,0,5.2
0.148117691,798.314209,0.148117691,0,5.3
0.151443675,813.8311768,0.151443675,0,5.4
0.154773623,829.3082275,0.154773623,0,5.5
0.158089057,844.8566895,0.158089057,0,5.6
0.161428615,860.3536987,0.161428615,0,5.7
0.164767951,876.1035156,0.164767951,0,5.8
0.168117017,892.0139771,0.168117017,0,5.9
0.171460375,907.7422485,0.171460375,0,6
0.174780533,923.3269653,0.174780533,0,6.1
0.178104699,938.8201904,0.178104699,0,6.2
0.181452528,954.1483765,0.181452528,0,6.3
0.184763014,969.2908325,0.184763014,0,6.4
0.188103095,984.7403564,0.188103095,0,6.5
0.19144015,1000.493286,0.19144015,0,6.6
0.194780752,1015.943787,0.194780752,0,6.7
0.19811894,1031.188232,0.19811894,0,6.8
0.201462254,1046.501953,0.201462254,0,6.9
0.204796776,1061.745483,0.204796776,0,7
0.208129913,1076.768921,0.208129913,0,7.1
0.211433426,1091.913208,0.211433426,0,7.2
0.214759544,1107.143311,0.214759544,0,7.3
0.218112275,1122.320313,0.218112275,0,7.4
0.22144115,1137.329712,0.22144115,0,7.5
0.224772707,1152.246338,0.224772707,0,7.6
0.228114516,1167.095947,0.228114516,0,7.7
0.23144795,1181.936646,0.23144795,0,7.8
0.234786347,1197.022583,0.234786347,0,7.9
0.238118693,1212.262573,0.238118693,0,8
0.241431534,1227.105103,0.241431534,0,8.1
0.244765878,1241.978638,0.244765878,0,8.2
0.2480869,1256.91394,0.2480869,0,8.3
0.251426756,1271.720093,0.251426756,0,8.4
0.254765034,1286.634155,0.254765034,0,8.5
0.258082539,1301.767578,0.258082539,0,8.6
0.261428088,1316.843018,0.261428088,0,8.7
0.264770895,1331.652832,0.264770895,0,8.8
0.268122792,1346.154053,0.268122792,0,8.9
0.271446317,1360.484253,0.271446317,0,9
0.274757296,1374.842285,0.274757296,0,9.1
0.278105795,1389.371582,0.278105795,0,9.2
0.281439155,1404.099487,0.281439155,0,9.3
0.284775764,1418.824219,0.284775764,0,9.4
0.288127214,1433.252197,0.288127214,0,9.5
0.291463286,1447.650635,0.291463286,0,9.6
0.294788301,1461.964111,0.294788301,0,9.7
0.298123956,1476.136108,0.298123956,0,9.8
0.301440001,1490.508423,0.301440001,0,9.9
0.304770499,1505.137817,0.304770499,0,10
0.308108479,1519.356812,0.308108479,0,10.1
0.311442852,1533.351563,0.311442852,0,10.2
0.31476292,1547.166992,0.31476292,0,10.3
0.318105429,1561.089966,0.318105429,0,10.4
0.321430266,1575.081665,0.321430266,0,10.5
0.324771523,1589.263672,0.324771523,0,10.6
0.328108132,1603.564575,0.328108132,0,10.7
0.331434011,1617.447876,0.331434011,0,10.8
0.334762782,1631.185791,0.334762782,0,10.9
0.338104665,1645.045532,0.338104665,0,11
0.341448992,1658.897705,0.341448992,0,11.1
0.344789237,1672.808594,0.344789237,0,11.2
0.34813723,1686.973511,0.34813723,0,11.3
0.351482004,1701.112427,0.351482004,0,11.4
0.354804307,1714.81543,0.354804307,0,11.5
0.358125508,1728.250244,0.358125508,0,11.6
0.361461014,1741.544189,0.361461014,0,11.7
