S150mM,S150mM,S150mM,S150mM,S150mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,61.01375198,0,0,0
0,60.8936348,0,0,0.1
0,60.78084183,0,0,0.2
0,60.67608261,0,0,0.3
0,60.58921432,0,0,0.4
5.36442E-05,60.65178299,5.36442E-05,0,0.5
0.000848055,61.28422928,0.000848055,0,0.6
0.001782179,62.111866,0.001782179,0,0.7
0.003070116,63.19145584,0.003070116,0,0.8
0.004616499,64.40336609,0.004616499,0,0.9
0.006613493,66.03422546,0.006613493,0,1
0.008901358,67.7910614,0.008901358,0,1.1
0.011445761,69.8535614,0.011445761,0,1.2
0.014409781,72.20414734,0.014409781,0,1.3
0.017673254,74.73344421,0.017673254,0,1.4
0.020936728,77.25004578,0.020936728,0,1.5
0.024297476,79.73832703,0.024297476,0,1.6
0.027648687,82.24809265,0.027648687,0,1.7
0.030902624,84.75395203,0.030902624,0,1.8
0.034112692,87.2519989,0.034112692,0,1.9
0.03753829,89.9707489,0.03753829,0,2
0.040813208,92.50492859,0.040813208,0,2.1
0.044173956,95.15922546,0.044173956,0,2.2
0.047490835,97.63871765,0.047490835,0,2.3
0.050723791,100.1660614,0.050723791,0,2.4
0.054202795,102.8730927,0.054202795,0,2.5
0.057531118,105.5879364,0.057531118,0,2.6
0.060827017,108.2197723,0.060827017,0,2.7
0.06422019,110.9033661,0.06422019,0,2.8
0.067559958,113.5186005,0.067559958,0,2.9
0.070920706,116.1709442,0.070920706,0,3
0.074271917,119.0342255,0.074271917,0,3.1
0.077546835,121.5879364,0.077546835,0,3.2
0.080917649,124.2419205,0.080917649,0,3.3
0.084331803,127.0583267,0.084331803,0,3.4
0.087662034,129.7174988,0.087662034,0,3.5
0.090990357,132.3005066,0.090990357,0,3.6
0.094339661,135.0387878,0.094339661,0,3.7
0.097723298,137.712616,0.097723298,0,3.8
0.10103064,140.3942566,0.10103064,0,3.9
0.104315095,142.9753113,0.104315095,0,4
0.107601456,145.5534363,0.107601456,0,4.1
0.110983185,148.2428894,0.110983185,0,4.2
0.114301972,150.9577332,0.114301972,0,4.3
0.117609315,153.5924988,0.117609315,0,4.4
0.120861344,156.2106628,0.120861344,0,4.5
0.124168687,158.7731628,0.124168687,0,4.6
0.127498925,161.3659363,0.127498925,0,4.7
0.13086921,164.0221863,0.13086921,0,4.8
0.134155571,166.6862488,0.134155571,0,4.9
0.13738662,169.2673035,0.13738662,0,5
0.140835106,172.2380066,0.140835106,0,5.1
0.144172966,175.1930847,0.144172966,0,5.2
0.147545159,178.0895691,0.147545159,0,5.3
0.150787652,181.0173035,0.150787652,0,5.4
0.154257119,184.4841003,0.154257119,0,5.5
0.157553017,189.1364441,0.157553017,0,5.6
0.160978615,194.118866,0.160978615,0,5.7
0.164221108,199.5758972,0.164221108,0,5.8
0.167570412,205.759491,0.167570412,0,5.9
0.171007454,212.7829285,0.171007454,0,6
0.174303353,220.0524597,0.174303353,0,6.1
0.177685082,227.9860535,0.177685082,0,6.2
0.180885613,236.3649597,0.180885613,0,6.3
0.184322655,245.431366,0.184322655,0,6.4
0.187650979,254.4352722,0.187650979,0,6.5
0.191011727,263.6696472,0.191011727,0,6.6
0.1942752,273.0446472,0.1942752,0,6.7
0.197647393,283.5212097,0.197647393,0,6.8
0.20098716,294.3024597,0.20098716,0,6.9
0.204315484,307.1540222,0.204315484,0,7
0.20756942,320.9352722,0.20756942,0,7.1
0.210768044,335.2008972,0.210768044,0,7.2
0.214214623,351.6462097,0.214214623,0,7.3
0.217480004,367.5758972,0.217480004,0,7.4
0.220829308,383.9040222,0.220829308,0,7.5
0.224127114,400.0290222,0.224127114,0,7.6
0.227443993,416.8805847,0.227443993,0,7.7
0.230795205,434.1383972,0.230795205,0,7.8
0.23425132,453.0524597,0.23425132,0,7.9
0.237472832,470.1305847,0.237472832,0,8
0.240886986,487.8883972,0.240886986,0,8.1
0.244238198,505.9821472,0.244238198,0,8.2
0.247576773,523.7965088,0.247576773,0,8.3
0.25089556,541.6793213,0.25089556,0,8.4
0.254244864,560.3511963,0.254244864,0,8.5
0.2576285,580.5777588,0.2576285,0,8.6
0.260968268,601.8277588,0.260968268,0,8.7
0.264359534,623.6246338,0.264359534,0,8.8
0.267613471,645.2496338,0.267613471,0,8.9
0.270997107,667.2027588,0.270997107,0,9
0.27430445,688.8121338,0.27430445,0,9.1
0.27770716,710.6090088,0.27770716,0,9.2
0.281025946,731.7027588,0.281025946,0,9.3
0.284300864,752.9996338,0.284300864,0,9.4
0.287650168,774.7027588,0.287650168,0,9.5
0.290915549,795.0933838,0.290915549,0,9.6
0.294276297,815.7652588,0.294276297,0,9.7
0.297486365,835.8043213,0.297486365,0,9.8
0.300835669,856.6636963,0.300835669,0,9.9
0.3041659,877.0543213,0.3041659,0,10
0.307536185,898.4761963,0.307536185,0,10.1
0.310811102,918.3590088,0.310811102,0,10.2
0.314076483,938.2418213,0.314076483,0,10.3
0.317532599,959.3668213,0.317532599,0,10.4
0.320872366,979.6011963,0.320872366,0,10.5
0.324137747,1000.046509,0.324137747,0,10.6
0.327454627,1020.015259,0.327454627,0,10.7
0.330868781,1041.249634,0.330868781,0,10.8
0.334273398,1060.960571,0.334273398,0,10.9
0.337622702,1081.249634,0.337622702,0,11
0.340920508,1100.249634,0.340920508,0,11.1
0.344260275,1119.835571,0.344260275,0,11.2
0.347642004,1139.984009,0.347642004,0,11.3
0.350958884,1159.601196,0.350958884,0,11.4
0.354310095,1180.023071,0.354310095,0,11.5
0.357617438,1199.530884,0.357617438,0,11.6
0.36098963,1219.023071,0.36098963,0,11.7
0.364306509,1238.288696,0.364306509,0,11.8
0.367711127,1257.109009,0.367711127,0,11.9
0.370932639,1275.093384,0.370932639,0,12
