compliance,compliance,compliance,compliance,compliance
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,102.6777954,0,0,0
0,102.4812622,0,0,0.1
0,102.2941284,0,0,0.2
0,102.1593781,0,0,0.3
0,102.0426178,0,0,0.4
0.000365019,103.8104782,0.000365019,0,0.5
0.001105785,108.4647751,0.001105785,0,0.6
0.002136707,112.9452438,0.002136707,0,0.7
0.003521919,117.9354782,0.003521919,0,0.8
0.005239487,124.1073532,0.005239487,0,0.9
0.007268906,131.3885956,0.007268906,0,1
0.009674072,139.4276581,0.009674072,0,1.1
0.012434006,148.3456268,0.012434006,0,1.2
0.015407562,157.8456268,0.015407562,0,1.3
0.01868248,167.7479706,0.01868248,0,1.4
0.022087097,178.0448456,0.022087097,0,1.5
0.025382996,187.7440643,0.025382996,0,1.6
0.028787613,197.2245331,0.028787613,0,1.7
0.032072067,206.3807831,0.032072067,0,1.8
0.03531456,215.6190643,0.03531456,0,1.9
0.038707733,224.8846893,0.038707733,0,2
0.042068481,234.2792206,0.042068481,0,2.1
0.045289993,243.8417206,0.045289993,0,2.2
0.048532486,253.4159393,0.048532486,0,2.3
0.051904678,263.5057983,0.051904678,0,2.4
0.055223465,273.3534546,0.055223465,0,2.5
0.058540344,283.8300171,0.058540344,0,2.6
0.061826706,293.7518921,0.061826706,0,2.7
0.065166473,304.4940796,0.065166473,0,2.8
0.068601608,315.9472046,0.068601608,0,2.9
0.071985245,326.7675171,0.071985245,0,3
0.075281143,337.7518921,0.075281143,0,3.1
0.078609467,348.9550171,0.078609467,0,3.2
0.08200264,360.4472046,0.08200264,0,3.3
0.085342407,372.5722046,0.085342407,0,3.4
0.088703156,384.2440796,0.088703156,0,3.5
0.091924667,395.8378296,0.091924667,0,3.6
0.095371246,408.3378296,0.095371246,0,3.7
0.098743439,420.8534546,0.098743439,0,3.8
0.102039337,433.8065796,0.102039337,0,3.9
0.10534697,446.2911377,0.10534697,0,4
0.108728699,459.4083252,0.108728699,0,4.1
0.112047486,472.8145752,0.112047486,0,4.2
0.115440659,486.4161377,0.115440659,0,4.3
0.118725114,499.9630127,0.118725114,0,4.4
0.121967606,514.3380127,0.121967606,0,4.5
0.125404656,528.8380127,0.125404656,0,4.6
0.128614724,543.2052002,0.128614724,0,4.7
0.131986916,558.3614502,0.131986916,0,4.8
0.135240853,573.3692627,0.135240853,0,4.9
0.138546288,587.2130127,0.138546288,0,5
0.141908944,599.6114502,0.141908944,0,5.1
0.145269692,611.1973877,0.145269692,0,5.2
0.148500741,621.9278564,0.148500741,0,5.3
0.151851952,632.9903564,0.151851952,0,5.4
0.155275643,644.2012939,0.155275643,0,5.5
0.158573449,655.0841064,0.158573449,0,5.6
0.161901772,665.9747314,0.161901772,0,5.7
0.165273964,675.8848877,0.165273964,0,5.8
0.168602288,686.3028564,0.168602288,0,5.9
0.171995461,696.5020752,0.171995461,0,6
0.175344765,706.8887939,0.175344765,0,6.1
0.178673089,717.3419189,0.178673089,0,6.2
0.1820243,728.8341064,0.1820243,0,6.3
0.185352623,739.8966064,0.185352623,0,6.4
0.188766778,751.1231689,0.188766778,0,6.5
0.192041695,762.0450439,0.192041695,0,6.6
0.195295632,773.0294189,0.195295632,0,6.7
0.198753655,785.1153564,0.198753655,0,6.8
0.202114403,795.7637939,0.202114403,0,6.9
0.205442727,806.8184814,0.205442727,0,7
0.208652794,817.8028564,0.208652794,0,7.1
0.212045968,829.3809814,0.212045968,0,7.2
0.21528846,840.1544189,0.21528846,0,7.3
0.218714058,852.0997314,0.218714058,0,7.4
0.221947014,863.1075439,0.221947014,0,7.5
0.225189507,875.0372314,0.225189507,0,7.6
0.22858268,887.4669189,0.22858268,0,7.7
0.231954873,899.5216064,0.231954873,0,7.8
0.235197365,911.5372314,0.235197365,0,7.9
0.238514245,924.0294189,0.238514245,0,8
0.241874993,937.2403564,0.241874993,0,8.1
0.245235741,949.9044189,0.245235741,0,8.2
0.248598397,963.3575439,0.248598397,0,8.3
0.251915276,976.2716064,0.251915276,0,8.4
0.255287468,990.1466064,0.255287468,0,8.5
0.258669198,1004.310669,0.258669198,0,8.6
0.262029946,1017.670044,0.262029946,0,8.7
0.265369713,1031.193481,0.265369713,0,8.8
0.268612206,1044.545044,0.268612206,0,8.9
0.272037536,1059.567505,0.272037536,0,9
0.275421172,1073.622192,0.275421172,0,9.1
0.278749496,1087.473755,0.278749496,0,9.2
0.282001525,1101.481567,0.282001525,0,9.3
0.285438567,1117.48938,0.285438567,0,9.4
0.28874591,1133.169067,0.28874591,0,9.5
0.292118102,1150.028442,0.292118102,0,9.6
0.295446426,1166.981567,0.295446426,0,9.7
0.298624068,1184.86438,0.298624068,0,9.8
0.302017242,1203.497192,0.302017242,0,9.9
0.305368453,1222.637817,0.305368453,0,10
0.308588058,1242.825317,0.308588058,0,10.1
0.311862975,1262.14563,0.311862975,0,10.2
0.315288574,1282.95813,0.315288574,0,10.3
0.318553954,1302.731567,0.318553954,0,10.4
0.321935683,1323.762817,0.321935683,0,10.5
0.325222045,1344.919067,0.325222045,0,10.6
0.328464538,1365.36438,0.328464538,0,10.7
0.331911117,1387.23938,0.331911117,0,10.8
0.335260421,1409.33313,0.335260421,0,10.9
0.338590652,1432.11438,0.338590652,0,11
0.3419514,1454.567505,0.3419514,0,11.1
0.345321685,1477.33313,0.345321685,0,11.2
0.348651916,1500.45813,0.348651916,0,11.3
0.352012664,1524.23938,0.352012664,0,11.4
0.355287582,1548.14563,0.355287582,0,11.5
0.358690292,1574.17688,0.358690292,0,11.6
0.362041503,1600.880005,0.362041503,0,11.7
0.365444213,1627.692505,0.365444213,0,11.8
0.368709594,1655.786255,0.368709594,0,11.9
0.372058898,1684.411255,0.372058898,0,12
