Non-bionmin S2,Non-bionmin S2,Non-bionmin S2,Non-bionmin S2,Non-bionmin S2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,77.42920685,0,0,0
-2.03324E-06,77.1517868,-2.03324E-06,0,0.1
-2.97327E-06,76.93429565,-2.97327E-06,0,0.2
-1.14892E-06,76.75694275,-1.14892E-06,0,0.3
1.55905E-05,76.62757111,1.55905E-05,0,0.4
0.000370308,77.70212555,0.000370308,0,0.5
0.001052328,80.53119659,0.001052328,0,0.6
0.002055831,84.63201141,0.002055831,0,0.7
0.003398043,90.03109741,0.003398043,0,0.8
0.005080314,96.73816681,0.005080314,0,0.9
0.007077696,104.5946503,0.007077696,0,1
0.009442692,113.4832764,0.009442692,0,1.1
0.012119344,123.4551163,0.012119344,0,1.2
0.015130319,134.5534515,0.015130319,0,1.3
0.018424179,146.3168488,0.018424179,0,1.4
0.021767164,158.4836426,0.021767164,0,1.5
0.025109049,170.9130402,0.025109049,0,1.6
0.028451484,183.2056122,0.028451484,0,1.7
0.031797137,195.366684,0.031797137,0,1.8
0.035130344,207.4284821,0.035130344,0,1.9
0.038461693,219.3942719,0.038461693,0,2
0.041795228,231.3947601,0.041795228,0,2.1
0.045093324,243.4459991,0.045093324,0,2.2
0.04845142,255.8678894,0.04845142,0,2.3
0.05179131,268.4631958,0.05179131,0,2.4
0.055108972,281.4506836,0.055108972,0,2.5
0.05843062,294.6240234,0.05843062,0,2.6
0.061754089,307.9594421,0.061754089,0,2.7
0.065091163,321.2662659,0.065091163,0,2.8
0.068424322,334.629303,0.068424322,0,2.9
0.071769387,348.2649536,0.071769387,0,3
0.075108863,361.7654724,0.075108863,0,3.1
0.078428149,374.823761,0.078428149,0,3.2
0.081766114,387.7115173,0.081766114,0,3.3
0.085085154,400.5544434,0.085085154,0,3.4
0.088428654,413.3817749,0.088428654,0,3.5
0.091760717,426.2392883,0.091760717,0,3.6
0.095102683,439.283844,0.095102683,0,3.7
0.09845373,452.2630005,0.09845373,0,3.8
0.101766847,464.827301,0.101766847,0,3.9
0.105106413,477.3061829,0.105106413,0,4
0.108458318,489.9908142,0.108458318,0,4.1
0.111799017,502.6181335,0.111799017,0,4.2
0.115129344,515.348938,0.115129344,0,4.3
0.118430384,528.2919922,0.118430384,0,4.4
0.121778421,540.9896851,0.121778421,0,4.5
0.125101268,553.4594116,0.125101268,0,4.6
0.128440708,565.843811,0.128440708,0,4.7
0.131767988,578.2316895,0.131767988,0,4.8
0.135108665,590.7523193,0.135108665,0,4.9
0.138451859,603.3991089,0.138451859,0,5
0.141787171,616.3168335,0.141787171,0,5.1
0.145112768,629.1338501,0.145112768,0,5.2
0.148438886,641.7155762,0.148438886,0,5.3
0.151768282,654.3690186,0.151768282,0,5.4
0.155099347,666.9508667,0.155099347,0,5.5
0.158431187,679.5932617,0.158431187,0,5.6
0.161762848,692.3422241,0.161762848,0,5.7
0.165084958,705.1495972,0.165084958,0,5.8
0.168438256,717.8106689,0.168438256,0,5.9
0.171781346,730.3391113,0.171781346,0,6
0.175110087,742.7841187,0.175110087,0,6.1
0.178443491,755.1276855,0.178443491,0,6.2
0.181783155,767.4230957,0.181783155,0,6.3
0.185116008,779.8598633,0.185116008,0,6.4
0.188449606,792.4084473,0.188449606,0,6.5
0.191776454,804.7454224,0.191776454,0,6.6
0.195128009,817.1008911,0.195128009,0,6.7
0.198466912,829.4767456,0.198466912,0,6.8
0.201781482,841.7287598,0.201781482,0,6.9
0.205120131,854.0819702,0.205120131,0,7
0.208450332,866.6756592,0.208450332,0,7.1
0.211777002,879.2852173,0.211777002,0,7.2
0.215089321,891.6168213,0.215089321,0,7.3
0.2184266,903.8019409,0.2184266,0,7.4
0.221757665,915.9066772,0.221757665,0,7.5
0.225082755,927.9190063,0.225082755,0,7.6
0.228439644,940.0149536,0.228439644,0,7.7
0.231764764,952.4383545,0.231764764,0,7.8
0.235097602,964.8703613,0.235097602,0,7.9
0.238425732,977.0128174,0.238425732,0,8
0.24176541,989.2317505,0.24176541,0,8.1
0.245094612,1001.504517,0.245094612,0,8.2
0.248440593,1013.626953,0.248440593,0,8.3
0.251772672,1026.015869,0.251772672,0,8.4
0.255129993,1038.596436,0.255129993,0,8.5
0.258474886,1050.931641,0.258474886,0,8.6
0.261797845,1063.188232,0.261797845,0,8.7
0.265122414,1075.55896,0.265122414,0,8.8
0.268455774,1088.361938,0.268455774,0,8.9
0.271791935,1101.423706,0.271791935,0,9
0.275111556,1114.834717,0.275111556,0,9.1
0.278443128,1128.627563,0.278443128,0,9.2
0.281764239,1142.469604,0.281764239,0,9.3
0.285105735,1156.049316,0.285105735,0,9.4
0.288428754,1169.64856,0.288428754,0,9.5
0.291776538,1183.434082,0.291776538,0,9.6
0.295101702,1197.258423,0.295101702,0,9.7
0.298423678,1211.465576,0.298423678,0,9.8
0.301756829,1225.770264,0.301756829,0,9.9
0.305083275,1239.859131,0.305083275,0,10
0.308418155,1253.646484,0.308418155,0,10.1
0.311763555,1267.39856,0.311763555,0,10.2
0.31511724,1281.137085,0.31511724,0,10.3
0.318462431,1294.78894,0.318462431,0,10.4
0.321803838,1308.696899,0.321803838,0,10.5
0.325131536,1322.731079,0.325131536,0,10.6
0.32845512,1336.474976,0.32845512,0,10.7
0.331790119,1349.822998,0.331790119,0,10.8
0.335130244,1363.188599,0.335130244,0,10.9
0.33844167,1376.569824,0.33844167,0,11
0.341777503,1390.10498,0.341777503,0,11.1
0.345112145,1403.984131,0.345112145,0,11.2
0.348452121,1417.88916,0.348452121,0,11.3
0.351777554,1431.604614,0.351777554,0,11.4
0.355111033,1445.106201,0.355111033,0,11.5
0.35843733,1458.46582,0.35843733,0,11.6
0.361753643,1471.831665,0.361753643,0,11.7
