S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,39.91617203,0,0,0
0,39.76339722,0,0,0.1
0,39.59359741,0,0,0.2
0,39.47561646,0,0,0.3
0,39.34387207,0,0,0.4
1.07288E-05,39.31533813,1.07288E-05,0,0.5
0.000730038,39.95645142,0.000730038,0,0.6
0.001567602,40.93692017,0.001567602,0,0.7
0.00272727,42.32461548,0.00272727,0,0.8
0.004305601,44.0453186,0.004305601,0,0.9
0.00625968,45.8421936,0.00625968,0,1
0.008407354,47.52871704,0.008407354,0,1.1
0.010940313,48.52481079,0.010940313,0,1.2
0.013840437,48.36551285,0.013840437,0,1.3
0.016943693,49.86954117,0.016943693,0,1.4
0.020281553,52.67032242,0.020281553,0,1.5
0.023579141,55.54403687,0.023579141,0,1.6
0.026972314,58.63192749,0.026972314,0,1.7
0.030203363,61.51864624,0.030203363,0,1.8
0.033501167,64.61825562,0.033501167,0,1.9
0.036871452,67.97372437,0.036871452,0,2
0.040169258,71.52255249,0.040169258,0,2.1
0.043518562,75.35458374,0.043518562,0,2.2
0.046740074,79.41708374,0.046740074,0,2.3
0.050133247,84.01864624,0.050133247,0,2.4
0.053493995,88.46591187,0.053493995,0,2.5
0.056833763,93.06552124,0.056833763,0,2.6
0.060150642,97.58114624,0.060150642,0,2.7
0.063599132,102.2080994,0.063599132,0,2.8
0.06689503,106.9073181,0.06689503,0,2.9
0.070309184,111.4268494,0.070309184,0,3
0.073572658,115.6690369,0.073572658,0,3.1
0.076902889,120.07724,0.076902889,0,3.2
0.080305599,124.6768494,0.080305599,0,3.3
0.083666347,129.1163025,0.083666347,0,3.4
0.086964153,133.686615,0.086964153,0,3.5
0.09023907,137.9385681,0.09023907,0,3.6
0.093674205,142.4424744,0.093674205,0,3.7
0.096960567,146.7862244,0.096960567,0,3.8
0.100395702,151.3038025,0.100395702,0,3.9
0.103670619,155.6748962,0.103670619,0,4
0.106936,160.4268494,0.106936,0,4.1
0.110296749,165.2784119,0.110296749,0,4.2
0.113613628,170.1495056,0.113613628,0,4.3
0.116879009,175.2471619,0.116879009,0,4.4
0.120163463,180.6338806,0.120163463,0,4.5
0.123493694,186.5948181,0.123493694,0,4.6
0.126831546,192.9073181,0.126831546,0,4.7
0.130171314,199.8291931,0.130171314,0,4.8
0.133392826,206.4151306,0.133392826,0,4.9
0.13680698,213.8838806,0.13680698,0,5
0.140114322,221.6612244,0.140114322,0,5.1
0.143507496,229.9112244,0.143507496,0,5.2
0.146868244,238.7315369,0.146868244,0,5.3
0.150219455,248.5518494,0.150219455,0,5.4
0.153612629,258.2276306,0.153612629,0,5.5
0.157005802,268.3838806,0.157005802,0,5.6
0.160280719,278.3799744,0.160280719,0,5.7
0.163576618,288.8174744,0.163576618,0,5.8
0.166990772,300.0362244,0.166990772,0,5.9
0.170298114,311.1534119,0.170298114,0,6
0.173723713,322.6299744,0.173723713,0,6.1
0.176956668,333.6143494,0.176956668,0,6.2
0.180273548,345.7393494,0.180273548,0,6.3
0.183678165,358.2940369,0.183678165,0,6.4
0.187038913,371.2471619,0.187038913,0,6.5
0.190281212,385.0792847,0.190281212,0,6.6
0.193599999,399.3136597,0.193599999,0,6.7
0.197002709,413.4699097,0.197002709,0,6.8
0.200256646,427.6964722,0.200256646,0,6.9
0.203617394,442.6730347,0.203617394,0,7
0.206795037,457.3917847,0.206795037,0,7.1
0.21018821,473.4933472,0.21018821,0,7.2
0.213518441,490.3058472,0.213518441,0,7.3
0.216879189,507.1730347,0.216879189,0,7.4
0.220100701,523.5011597,0.220100701,0,7.5
0.223406136,540.4933472,0.223406136,0,7.6
0.226864159,557.9855347,0.226864159,0,7.7
0.230224907,575.1730347,0.230224907,0,7.8
0.23353225,591.9933472,0.23353225,0,7.9
0.236807168,608.5558472,0.236807168,0,8
0.240265191,626.3527222,0.240265191,0,8.1
0.243561089,643.2433472,0.243561089,0,8.2
0.246944726,660.0636597,0.246944726,0,8.3
0.25022918,676.5949097,0.25022918,0,8.4
0.253568947,693.2199097,0.253568947,0,8.5
0.256950676,710.4542847,0.256950676,0,8.6
0.260376275,727.9855347,0.260376275,0,8.7
0.263597786,744.3527222,0.263597786,0,8.8
0.266937554,760.8058472,0.266937554,0,8.9
0.270372689,777.9542847,0.270372689,0,9
0.273680031,794.1886597,0.273680031,0,9.1
0.276945412,810.9230347,0.276945412,0,9.2
0.280252755,827.6495972,0.280252755,0,9.3
0.283655465,844.4620972,0.283655465,0,9.4
0.28695327,860.6339722,0.28695327,0,9.5
0.290281594,876.7824097,0.290281594,0,9.6
0.293512642,892.2199097,0.293512642,0,9.7
0.296819985,907.9542847,0.296819985,0,9.8
0.300203621,924.1652222,0.300203621,0,9.9
0.303509057,941.2355347,0.303509057,0,10
0.306860268,957.1574097,0.306860268,0,10.1
0.310060799,972.6339722,0.310060799,0,10.2
0.313474953,989.3839722,0.313474953,0,10.3
0.316791832,1006.18866,0.316791832,0,10.4
0.320143044,1022.40741,0.320143044,0,10.5
0.323513329,1038.055908,0.323513329,0,10.6
0.326864541,1054.165283,0.326864541,0,10.7
0.330278695,1069.548096,0.330278695,0,10.8
0.333639443,1085.165283,0.333639443,0,10.9
0.336937249,1100.704346,0.336937249,0,11
0.340242684,1116.313721,0.340242684,0,11.1
0.343647301,1132.094971,0.343647301,0,11.2
0.346987069,1147.235596,0.346987069,0,11.3
0.350294411,1162.446533,0.350294411,0,11.4
0.353601754,1177.759033,0.353601754,0,11.5
0.35699445,1193.847412,0.35699445,0,11.6
0.360301793,1208.972412,0.360301793,0,11.7
0.363736928,1224.792725,0.363736928,0,11.8
0.366926014,1239.105225,0.366926014,0,11.9
0.370244801,1253.503662,0.370244801,0,12
