Tnbm2;Tnbm2;Tnbm2;Tnbm2
Standard force;Standard travel;Grip to grip separation;Test time
N;mm;mm;s
78.06735992;0;65.0696359;0
78.04055786;0;65.0696359;0.1
78.05258942;0;65.0696359;0.2
78.03504181;0;65.0696359;0.3
78.03965759;0;65.0696359;0.4
78.02062225;0;65.0696359;0.5
77.97220612;0;65.0696359;0.6
77.96159363;0;65.06965828;0.7
82.78699493;0;65.07104618;0.8
97.90189362;0;65.07404284;0.9
120.6353149;0;65.07864155;1
150.7225342;0.005;65.08482196;1.1
188.8767548;0.01;65.09283834;1.2
233.8291779;0.012698594;65.10239845;1.3
285.7360535;0.015;65.11360294;1.4
344.4135437;0.02;65.12647063;1.5
410.0301819;0.02998827;65.1410538;1.6
482.3273926;0.035;65.15742843;1.7
554.3427124;0.039999999;65.17396522;1.8
623.6811523;0.04998827;65.19068796;1.9
691.4660645;0.055;65.20739852;2
756.0804443;0.06498827;65.22390179;2.1
819.8447266;0.072698593;65.2407307;2.2
880.4055786;0.079999998;65.25744476;2.3
938.7440186;0.090000004;65.27401735;2.4
995.2646484;0.099988267;65.29067142;2.500000001
1049.963745;0.109999999;65.30711252;2.600000001
1104.131714;0.11998827;65.32395539;2.700000001
1154.847168;0.129999995;65.34084386;2.800000001
1195.782227;0.140000001;65.35747787;2.900000001
1238.576416;0.150000006;65.37410635;3.000000001
1289.078003;0.162698597;65.39056954;3.100000001
1340.791504;0.174999997;65.4071314;3.200000001
1391.113037;0.189999998;65.42406273;3.300000001
1440.062134;0.200000003;65.44072881;3.400000001
1488.465698;0.209999993;65.45746422;3.500000001
1536.275513;0.219999999;65.47399542;3.600000001
1583.420166;0.230000004;65.49055162;3.700000001
1631.246948;0.2376986;65.50745577;3.800000001
1677.880981;0.24769859;65.52402577;3.900000001
1723.892578;0.254999995;65.5406144;4.000000001
1769.645264;0.264988273;65.55735046;4.100000001
1814.78186;0.274988264;65.5738999;4.200000001
1860.392578;0.280000001;65.59070423;4.300000001
1905.512329;0.294988275;65.6074625;4.400000001
1949.764893;0.307280689;65.62405864;4.500000001
1993.495361;0.309579611;65.64074502;4.600000001
2036.441772;0.324999988;65.65710917;4.700000001
2080.012207;0.332301408;65.67384759;4.800000001
2123.97583;0.342698604;65.69085088;4.900000001
2166.223145;0.352301389;65.70749024;5.000000001
2208.73999;0.360000014;65.72410706;5.100000001
2251.035645;0.374988258;65.7406508;5.200000001
2293.17749;0.379999995;65.7571576;5.300000001
2335.80249;0.392698586;65.77405951;5.400000001
2377.467773;0.400000006;65.79066149;5.500000001
2418.499023;0.405000001;65.80739054;5.600000001
2458.803467;0.412698597;65.8240464;5.700000001
2499.203369;0.414999992;65.84054139;5.800000001
2541.004395;0.422698587;65.85742632;5.900000001
2582.186523;0.430000007;65.87414476;6.000000001
2622.439697;0.435000002;65.89062902;6.100000001
2662.746338;0.444988281;65.90730599;6.200000001
2702.469482;0.449999988;65.92383388;6.300000001
2743.125244;0.455000013;65.94069609;6.400000001
2783.529541;0.465000004;65.95752743;6.500000001
2822.388916;0.474988282;65.97407499;6.600000001
2861.228027;0.479999989;65.99078706;6.700000001
2900.015137;0.485000014;66.00721058;6.800000001
2939.651367;0.49000001;66.02379575;6.900000001
2979.865967;0.499988258;66.04077372;7.000000001
3018.567871;0.507698596;66.05745509;7.100000001
3057.112061;0.514999986;66.07411721;7.200000001
3095.644531;0.519999981;66.09068766;7.300000001
3134.390137;0.529988289;66.10722318;7.400000002
3173.665527;0.535000026;66.12407604;7.500000002
3211.771484;0.537698567;66.14067069;7.600000002
3248.96875;0.545000017;66.1573315;7.700000002
3287;0.550000012;66.17405036;7.800000002
3325.058105;0.555000007;66.1905196;7.900000002
3363.984131;0.560000002;66.20738259;8.000000002
3402.477539;0.567698598;66.22420862;8.100000002
3439.741699;0.574999988;66.24073354;8.200000002
3477.608398;0.579999983;66.25732044;8.300000002
3514.499023;0.587698579;66.27374438;8.400000002
3552.55835;0.594999969;66.29060701;8.500000002
3589.850342;0.600000024;66.30756453;8.600000002
3626.111572;0.605000019;66.32411233;8.700000002
3663.086914;0.612698615;66.34076026;8.800000002
3700.202148;0.61500001;66.35731545;8.900000002
3737.453369;0.622698605;66.37384358;9.000000002
3775.294434;0.629999995;66.39072076;9.100000002
3811.924072;0.63499999;66.4073284;9.200000002
3848.324463;0.644999981;66.42409876;9.300000002
3884.466797;0.649999976;66.44071582;9.400000002
3920.053467;0.654999971;66.45723608;9.500000002
3956.694824;0.660000026;66.47411993;9.600000002
3992.353027;0.665000021;66.49073723;9.700000002
4028.706543;0.669988275;66.50729469;9.800000002
4065.384277;0.670000017;66.52401868;9.900000002
4101.164063;0.675000012;66.5405002;10
4137.675293;0.675000012;66.55738011;10.1
4173.904297;0.680000007;66.57421783;10.2
4209.148438;0.685000002;66.59075967;10.3
4244.962402;0.692698598;66.60741308;10.4
4280.050781;0.697698593;66.62379363;10.5
4315.015137;0.704999983;66.64047948;10.6
4350.968262;0.714988291;66.65749911;10.7
4386.20459;0.720000029;66.67415348;10.8
4421.296387;0.729988277;66.69074348;10.9
4456.772461;0.735000014;66.70732501;11
4491.954102;0.74269861;66.72388557;11.1
4527.946777;0.75;66.74077228;11.2
4562.78125;0.754999995;66.75726202;11.3
4597.143066;0.75999999;66.77398566;11.4
4631.083984;0.764999986;66.79073623;11.5
4664.55127;0.769999981;66.80727402;11.6
4699.397461;0.774999976;66.82407585;11.7
4733.444824;0.779999971;66.84078255;11.8
4767.465332;0.785000026;66.85738626;11.9
4802.046875;0.790000021;66.87402251;12
4835.647949;0.795000017;66.89043692;12.1
4869.908691;0.800000012;66.90726462;12.2
4904.356445;0.805000007;66.92423633;12.3
4937.299805;0.810000002;66.94079688;12.4
4970.293945;0.814999998;66.95745316;12.5
5002.584473;0.824999988;66.97389189;12.6
5035.486816;0.829999983;66.99045184;12.7
5069.67041;0.834999979;67.00743654;12.8
5102.887695;0.839988291;67.02410117;12.9
5136.344238;0.842698574;67.04075077;13
5169.771973;0.849988282;67.05732647;13.1
5202.55957;0.850000024;67.07388619;13.2
5236.46582;0.855000019;67.09081629;13.3
5269.184082;0.860000014;67.1073418;13.4
5302.007324;0.86500001;67.12393549;13.5
5334.516113;0.870000005;67.14069036;13.6
5367.161133;0.875;67.15724471;13.7
5400.408203;0.88499999;67.17405847;13.8
5433.906738;0.889999986;67.19080189;13.9
5466.635254;0.897698581;67.20739797;14
5499.225098;0.904999971;67.2240341;14.1
5531.504883;0.910000026;67.24046162;14.2
5564.149414;0.910000026;67.25712708;14.3
5597.409668;0.915000021;67.27420262;14.4
5628.499512;0.915000021;67.29080179;14.5
5660.514648;0.920000017;67.30749181;14.6
5691.874512;0.925000012;67.32397488;14.7
5723.883789;0.930000007;67.34046987;14.8
5756.600098;0.935000002;67.35738209;14.9
5788.676758;0.935000002;67.37402347;15
5820.793457;0.939999998;67.39071301;15.1
5852.637695;0.947698593;67.40739754;15.2
5883.760742;0.949999988;67.42388609;15.3
5915.293457;0.954999983;67.44077733;15.4
5946.593262;0.954999983;67.45748595;15.5
5976.785156;0.959999979;67.47395495;15.6
6007.758301;0.964988291;67.49059132;15.7
6038.200195;0.964999974;67.50716618;15.8
6069.537598;0.970000029;67.52401021;15.9
6101.60498;0.975000024;67.54088548;16
6132.297852;0.975000024;67.5574086;16.1
6163.093262;0.982698619;67.57413057;16.2
6192.51709;0.99000001;67.5905371;16.3
6221.913574;0.995000005;67.60710982;16.4
6251.630859;1;67.62410453;16.5
6279.753418;1.004999995;67.64078334;16.6
6305.919922;1.00999999;67.6574848;16.7
